1024,17.632,6.608,1024,16.022,2.516,1024,Z,Z,1024,Z,Z,1024,Z,Z,1024,Z,Z,
2048,14.326,5.713,2048,13.588,2.808,2048,27.325,16.206,2048,17.580,3.795,2048,Z,Z,2048,Z,Z,
4096,11.310,4.514,4096,10.905,2.454,4096,24.583,16.250,4096,14.699,3.980,4096,33.036,20.892,4096,21.941,7.292,
8192,9.112,5.609,8192,8.484,1.762,8192,22.360,17.992,8192,11.456,3.432,8192,30.857,23.528,8192,19.341,7.942,
16384,6.604,3.947,16384,6.779,3.366,16384,19.819,16.420,16384,8.788,4.655,16384,28.103,22.219,16384,16.721,10.109,
32768,3.540,1.387,32768,3.303,0.690,32768,16.843,14.067,32768,4.854,1.648,32768,24.903,19.838,32768,12.508,7.321,
65536,2.851,1.437,65536,2.550,0.446,65536,16.274,14.021,65536,3.540,0.881,65536,24.245,19.661,65536,11.162,6.781,
131072,2.004,1.246,131072,1.966,0.709,131072,15.929,14.348,131072,2.893,0.785,131072,23.851,19.919,131072,10.683,6.786,
262144,Z,Z,262144,Z,Z,262144,15.748,14.724,262144,2.093,0.805,262144,23.725,20.382,262144,10.324,7.084,
524288,Z,Z,524288,Z,Z,524288,Z,Z,524288,Z,Z,524288,23.561,20.547,524288,10.146,7.522,





1024,17.632,7.066,1024,16.022,3.229,1024,Z,Z,1024,Z,Z,1024,Z,Z,1024,Z,Z,
2048,14.326,5.990,2048,13.588,3.319,2048,27.325,16.513,2048,17.580,4.251,2048,Z,Z,2048,Z,Z,
4096,11.310,4.504,4096,10.905,2.773,4096,24.583,16.422,4096,14.699,4.352,4096,21.158,13.259,4096,14.262,3.722,
8192,9.112,6.052,8192,8.484,1.766,8192,22.360,18.319,8192,11.456,3.638,8192,18.753,15.604,8192,11.346,3.956,
16384,6.604,4.043,16384,6.779,3.842,16384,19.819,16.567,16384,8.788,4.997,16384,15.806,13.581,16384,8.341,5.535,
32768,3.540,1.445,32768,3.303,0.791,32768,16.843,14.122,32768,4.854,1.808,32768,12.388,10.699,32768,3.876,1.923,
65536,2.851,1.516,65536,2.550,0.513,65536,16.274,14.057,65536,3.540,0.949,65536,11.652,10.320,65536,2.505,0.979,
131072,2.004,1.318,131072,1.966,0.821,131072,15.929,14.382,131072,2.893,0.836,131072,11.188,10.232,131072,1.896,0.700,
262144,Z,Z,262144,Z,Z,262144,15.748,14.750,262144,2.093,0.872,262144,11.019,10.412,262144,1.297,0.535,
524288,Z,Z,524288,Z,Z,524288,Z,Z,524288,Z,Z,524288,10.825,10.370,524288,0.863,0.439,



1024,17.632,7.066,1024,16.022,3.229,1024,Z,Z,1024,Z,Z,1024,Z,Z,1024,Z,Z,
2048,14.326,5.990,2048,13.588,3.319,2048,14.579,6.659,2048,13.354,3.134,2048,Z,Z,2048,Z,Z,
4096,11.310,4.504,4096,10.905,2.773,4096,11.262,5.347,4096,10.690,3.071,4096,12.084,6.163,4096,10.878,2.647,
8192,9.112,6.052,8192,8.484,1.766,8192,8.728,6.671,8192,8.102,2.335,8192,9.279,7.640,8192,8.642,2.983,
16384,6.604,4.043,16384,6.779,3.842,16384,5.964,4.456,16384,6.041,4.169,16384,6.168,5.201,16384,6.169,4.797,
32768,3.540,1.445,32768,3.303,0.791,32768,2.712,1.504,32768,2.259,0.795,32768,2.538,1.818,32768,1.924,1.005,
65536,2.851,1.516,65536,2.550,0.513,65536,1.976,1.160,65536,1.514,0.348,65536,1.661,1.154,65536,0.984,0.298,
131072,2.004,1.318,131072,1.966,0.821,131072,1.326,0.912,131072,1.148,0.436,131072,1.023,0.759,131072,0.697,0.251,
262144,Z,Z,262144,Z,Z,262144,0.905,0.630,262144,0.671,0.329,262144,0.717,0.561,262144,0.428,0.215,
524288,Z,Z,524288,Z,Z,524288,Z,Z,524288,Z,Z,524288,0.442,0.311,524288,0.219,0.079,
