
Handle=0
COLORMAP 	 ofs=00002A10, sz=8704; 
ENDOOM   	 ofs=00003AB0, sz=4000; 
DEMO1    	 ofs=00003F10, sz=17242; PIC? xs=154,ys=874,xo=2817,yo=512
DEMO2    	 ofs=000055F0, sz=8018; PIC? xs=154,ys=874,xo=1281,yo=8704
DEMO3    	 ofs=000062D0, sz=17898; PIC? xs=154,ys=874,xo=6657,yo=512
MAP01    	 ofs=00007F40, sz=0; 
THINGS   	 ofs=00007F40, sz=690; 
LINEDEFS 	 ofs=000080E0, sz=5180; 
SIDEDEFS 	 ofs=00008CE0, sz=15870; 
VERTEXES 	 ofs=00009260, sz=1532; 
SEGS     	 ofs=00009860, sz=7212; 
SSECTORS 	 ofs=0000AA90, sz=776; 
NODES    	 ofs=0000ADA0, sz=5404; 
SECTORS  	 ofs=0000C2C0, sz=1534; 
REJECT   	 ofs=0000C4C0, sz=436; 
BLOCKMAP 	 ofs=0000C680, sz=6418; 
MAP02    	 ofs=0000D2D0, sz=0; 
THINGS   	 ofs=0000D2D0, sz=1730; 
LINEDEFS 	 ofs=0000D6A0, sz=7546; 
SIDEDEFS 	 ofs=0000E7F0, sz=22530; 
VERTEXES 	 ofs=0000F020, sz=2068; 
SEGS     	 ofs=0000F840, sz=10020; 
SSECTORS 	 ofs=000110C0, sz=996; 
NODES    	 ofs=000114B0, sz=6944; 
SECTORS  	 ofs=00012FD0, sz=2730; 
REJECT   	 ofs=00013220, sz=1379; 
BLOCKMAP 	 ofs=000133D0, sz=3182; 
MAP03    	 ofs=00014040, sz=0; 
THINGS   	 ofs=00014040, sz=1450; 
LINEDEFS 	 ofs=000143E0, sz=7952; 
SIDEDEFS 	 ofs=00015650, sz=25800; 
VERTEXES 	 ofs=00015EC0, sz=2076; 
SEGS     	 ofs=000166E0, sz=11244; 
SSECTORS 	 ofs=00018270, sz=1160; 
NODES    	 ofs=00018700, sz=8092; 
SECTORS  	 ofs=0001A6A0, sz=2938; 
REJECT   	 ofs=0001A920, sz=1597; PIC? xs=150,ys=256,xo=-29184,yo=8194
BLOCKMAP 	 ofs=0001AAE0, sz=4268; 
MAP04    	 ofs=0001B530, sz=0; 
THINGS   	 ofs=0001B530, sz=1380; 
LINEDEFS 	 ofs=0001B850, sz=8274; 
SIDEDEFS 	 ofs=0001CB40, sz=23400; 
VERTEXES 	 ofs=0001D3B0, sz=1976; 
SEGS     	 ofs=0001DB70, sz=9744; 
SSECTORS 	 ofs=0001F350, sz=996; 
NODES    	 ofs=0001F740, sz=6944; 
SECTORS  	 ofs=00021260, sz=3172; 
REJECT   	 ofs=00021490, sz=1861; 
BLOCKMAP 	 ofs=00021710, sz=3270; 
MAP05    	 ofs=000223E0, sz=0; 
THINGS   	 ofs=000223E0, sz=2170; 
LINEDEFS 	 ofs=00022900, sz=13370; 
SIDEDEFS 	 ofs=000247F0, sz=38580; 
VERTEXES 	 ofs=000254C0, sz=3476; 
SEGS     	 ofs=00026260, sz=16776; 
SSECTORS 	 ofs=00028C60, sz=1668; 
NODES    	 ofs=000292F0, sz=11648; 
SECTORS  	 ofs=0002B100, sz=4576; 
REJECT   	 ofs=0002B460, sz=3872; PIC? xs=524,ys=512,xo=0,yo=18432
BLOCKMAP 	 ofs=0002B7A0, sz=5684; 
MAP06    	 ofs=0002CDE0, sz=0; 
THINGS   	 ofs=0002CDE0, sz=2470; 
LINEDEFS 	 ofs=0002D3C0, sz=14154; 
SIDEDEFS 	 ofs=0002F4F0, sz=42270; 
VERTEXES 	 ofs=00030370, sz=3740; 
SEGS     	 ofs=00031210, sz=18612; 
SSECTORS 	 ofs=000340A0, sz=1936; 
NODES    	 ofs=00034830, sz=13524; 
SECTORS  	 ofs=00036AA0, sz=4758; 
REJECT   	 ofs=00036E90, sz=4187; 
BLOCKMAP 	 ofs=00037600, sz=7316; 
MAP07    	 ofs=00038850, sz=0; 
THINGS   	 ofs=00038850, sz=980; 
LINEDEFS 	 ofs=00038A70, sz=2632; 
SIDEDEFS 	 ofs=00039080, sz=8490; 
VERTEXES 	 ofs=000392C0, sz=780; 
SEGS     	 ofs=000395D0, sz=3900; 
SSECTORS 	 ofs=00039F30, sz=388; 
NODES    	 ofs=0003A0C0, sz=2688; 
SECTORS  	 ofs=0003A780, sz=754; 
REJECT   	 ofs=0003A820, sz=106; PIC? xs=162,ys=512,xo=4098,yo=1458
BLOCKMAP 	 ofs=0003A840, sz=2824; 
MAP08    	 ofs=0003AD90, sz=0; 
THINGS   	 ofs=0003AD90, sz=2420; 
LINEDEFS 	 ofs=0003B2E0, sz=9086; 
SIDEDEFS 	 ofs=0003C850, sz=26040; 
VERTEXES 	 ofs=0003D2B0, sz=2296; 
SEGS     	 ofs=0003DBB0, sz=11028; 
SSECTORS 	 ofs=0003F720, sz=1104; 
NODES    	 ofs=0003FB70, sz=7700; 
SECTORS  	 ofs=00041990, sz=3302; 
REJECT   	 ofs=00041CF0, sz=2017; 
BLOCKMAP 	 ofs=00042210, sz=8264; 
MAP09    	 ofs=000433B0, sz=0; 
THINGS   	 ofs=000433B0, sz=3920; 
LINEDEFS 	 ofs=00043C30, sz=8960; 
SIDEDEFS 	 ofs=00045160, sz=26310; 
VERTEXES 	 ofs=00045C80, sz=2468; PIC? xs=384,ys=128,xo=64,yo=128
SEGS     	 ofs=00046630, sz=11904; PIC? xs=526,ys=513,xo=144,yo=0
SSECTORS 	 ofs=000484B0, sz=1300; 
NODES    	 ofs=000489D0, sz=9072; 
SECTORS  	 ofs=0004AD40, sz=3406; 
REJECT   	 ofs=0004B160, sz=2146; 
BLOCKMAP 	 ofs=0004B6C0, sz=9450; 
MAP10    	 ofs=0004CA50, sz=0; 
THINGS   	 ofs=0004CA50, sz=5090; 
LINEDEFS 	 ofs=0004D4E0, sz=14756; 
SIDEDEFS 	 ofs=0004F720, sz=39360; 
VERTEXES 	 ofs=00050680, sz=3844; 
SEGS     	 ofs=00051590, sz=17004; 
SSECTORS 	 ofs=00054180, sz=1820; 
NODES    	 ofs=000548A0, sz=12712; 
SECTORS  	 ofs=00057A50, sz=4836; 
REJECT   	 ofs=00057EC0, sz=4325; 
BLOCKMAP 	 ofs=00058710, sz=10954; 
MAP11    	 ofs=0005A080, sz=0; 
THINGS   	 ofs=0005A080, sz=2380; 
LINEDEFS 	 ofs=0005A650, sz=11760; 
SIDEDEFS 	 ofs=0005C1A0, sz=35250; 
VERTEXES 	 ofs=0005CCB0, sz=3056; PIC? xs=576,ys=832,xo=384,yo=832
SEGS     	 ofs=0005D8A0, sz=15384; 
SSECTORS 	 ofs=0005FF10, sz=1684; 
NODES    	 ofs=000605B0, sz=11760; 
SECTORS  	 ofs=000633A0, sz=3666; 
REJECT   	 ofs=00063730, sz=2486; 
BLOCKMAP 	 ofs=00063A80, sz=6928; 
MAP12    	 ofs=00064B10, sz=0; 
THINGS   	 ofs=00064B10, sz=1950; 
LINEDEFS 	 ofs=00065000, sz=10836; 
SIDEDEFS 	 ofs=00066990, sz=32820; 
VERTEXES 	 ofs=000675D0, sz=3096; 
SEGS     	 ofs=000681F0, sz=15324; 
SSECTORS 	 ofs=0006A7E0, sz=1692; 
NODES    	 ofs=0006AE80, sz=11816; 
SECTORS  	 ofs=0006CCC0, sz=4212; 
REJECT   	 ofs=0006D060, sz=3281; PIC? xs=103,ys=128,xo=16394,yo=16880
BLOCKMAP 	 ofs=0006D500, sz=10292; 
MAP13    	 ofs=0006E950, sz=0; 
THINGS   	 ofs=0006E950, sz=3120; 
LINEDEFS 	 ofs=0006F080, sz=16744; 
SIDEDEFS 	 ofs=00071800, sz=50100; 
VERTEXES 	 ofs=00072B30, sz=4412; 
SEGS     	 ofs=00073C70, sz=22044; 
SSECTORS 	 ofs=000773C0, sz=2228; 
NODES    	 ofs=00077C80, sz=15568; 
SECTORS  	 ofs=0007A4C0, sz=6422; 
REJECT   	 ofs=0007AB00, sz=7627; 
BLOCKMAP 	 ofs=0007B510, sz=10090; 
MAP14    	 ofs=0007CCA0, sz=0; 
THINGS   	 ofs=0007CCA0, sz=1730; 
LINEDEFS 	 ofs=0007D0E0, sz=23534; 
SIDEDEFS 	 ofs=000807F0, sz=77610; 
VERTEXES 	 ofs=00081EE0, sz=5716; PIC? xs=192,ys=640,xo=216,yo=640
SEGS     	 ofs=00083540, sz=33780; 
SSECTORS 	 ofs=000889D0, sz=3404; 
NODES    	 ofs=00089720, sz=23800; 
SECTORS  	 ofs=0008D350, sz=9048; 
REJECT   	 ofs=0008D810, sz=15138; 
BLOCKMAP 	 ofs=0008DEF0, sz=10650; 
MAP15    	 ofs=0008F9C0, sz=0; 
THINGS   	 ofs=0008F9C0, sz=3770; 
LINEDEFS 	 ofs=00090290, sz=23660; 
SIDEDEFS 	 ofs=000939F0, sz=70830; 
VERTEXES 	 ofs=00095120, sz=6404; 
SEGS     	 ofs=00096A30, sz=31764; 
SSECTORS 	 ofs=0009BAE0, sz=3500; 
NODES    	 ofs=0009C890, sz=24472; 
SECTORS  	 ofs=000A2830, sz=7826; 
REJECT   	 ofs=000A2F70, sz=11326; 
BLOCKMAP 	 ofs=000A4050, sz=18452; 
MAP16    	 ofs=000A67C0, sz=0; 
THINGS   	 ofs=000A67C0, sz=2490; 
LINEDEFS 	 ofs=000A6CC0, sz=10892; 
SIDEDEFS 	 ofs=000A8650, sz=32640; 
VERTEXES 	 ofs=000A9220, sz=3016; 
SEGS     	 ofs=000A9DF0, sz=14760; 
SSECTORS 	 ofs=000AC370, sz=1684; 
NODES    	 ofs=000ACA10, sz=11760; 
SECTORS  	 ofs=000AF800, sz=3692; 
REJECT   	 ofs=000AFBD0, sz=2521; 
BLOCKMAP 	 ofs=000AFE80, sz=12270; 
MAP17    	 ofs=000B1630, sz=0; 
THINGS   	 ofs=000B1630, sz=4210; 
LINEDEFS 	 ofs=000B1F60, sz=18060; 
SIDEDEFS 	 ofs=000B49F0, sz=55410; 
VERTEXES 	 ofs=000B5D70, sz=4428; 
SEGS     	 ofs=000B6EC0, sz=23760; 
SSECTORS 	 ofs=000BAA60, sz=2460; 
NODES    	 ofs=000BB400, sz=17192; 
SECTORS  	 ofs=000BF730, sz=7124; 
REJECT   	 ofs=000BFD60, sz=9385; 
BLOCKMAP 	 ofs=000C0900, sz=8638; 
MAP18    	 ofs=000C1F00, sz=0; 
THINGS   	 ofs=000C1F00, sz=4980; 
LINEDEFS 	 ofs=000C28D0, sz=10822; 
SIDEDEFS 	 ofs=000C4210, sz=29550; 
VERTEXES 	 ofs=000C4C30, sz=3224; 
SEGS     	 ofs=000C58D0, sz=13572; PIC? xs=526,ys=388,xo=389,yo=0
SSECTORS 	 ofs=000C7B90, sz=1664; 
NODES    	 ofs=000C8210, sz=11620; 
SECTORS  	 ofs=000CAF80, sz=2808; 
REJECT   	 ofs=000CB270, sz=1458; 
BLOCKMAP 	 ofs=000CB510, sz=12016; 
MAP19    	 ofs=000CCD20, sz=0; 
THINGS   	 ofs=000CCD20, sz=4370; 
LINEDEFS 	 ofs=000CD620, sz=17570; 
SIDEDEFS 	 ofs=000CFFE0, sz=54630; PIC? xs=522,ys=16,xo=0,yo=-6867
VERTEXES 	 ofs=000D14D0, sz=5008; 
SEGS     	 ofs=000D2860, sz=25404; 
SSECTORS 	 ofs=000D69A0, sz=2884; 
NODES    	 ofs=000D74F0, sz=20160; 
SECTORS  	 ofs=000DC3B0, sz=6526; 
REJECT   	 ofs=000DC9D0, sz=7876; 
BLOCKMAP 	 ofs=000DD7F0, sz=18600; 
MAP20    	 ofs=000DFCD0, sz=0; 
THINGS   	 ofs=000DFCD0, sz=2560; 
LINEDEFS 	 ofs=000E02E0, sz=14210; 
SIDEDEFS 	 ofs=000E2460, sz=43440; 
VERTEXES 	 ofs=000E31B0, sz=4096; 
SEGS     	 ofs=000E41B0, sz=20136; 
SSECTORS 	 ofs=000E7560, sz=2308; 
NODES    	 ofs=000E7E70, sz=16128; 
SECTORS  	 ofs=000EBD70, sz=4966; 
REJECT   	 ofs=000EC260, sz=4561; 
BLOCKMAP 	 ofs=000ECA40, sz=17160; 
MAP21    	 ofs=000EEAA0, sz=0; 
THINGS   	 ofs=000EEAA0, sz=2170; 
LINEDEFS 	 ofs=000EEF40, sz=4578; 
SIDEDEFS 	 ofs=000EFA20, sz=16140; 
VERTEXES 	 ofs=000EFE00, sz=1584; 
SEGS     	 ofs=000F0430, sz=7680; 
SSECTORS 	 ofs=000F1790, sz=916; 
NODES    	 ofs=000F1B30, sz=6384; 
SECTORS  	 ofs=000F3420, sz=1586; 
REJECT   	 ofs=000F35F0, sz=466; 
BLOCKMAP 	 ofs=000F3720, sz=5768; 
MAP22    	 ofs=000F42A0, sz=0; 
THINGS   	 ofs=000F42A0, sz=1210; 
LINEDEFS 	 ofs=000F45C0, sz=9198; 
SIDEDEFS 	 ofs=000F5B20, sz=28200; 
VERTEXES 	 ofs=000F6460, sz=2360; 
SEGS     	 ofs=000F6DA0, sz=11940; 
SSECTORS 	 ofs=000F8B30, sz=1264; 
NODES    	 ofs=000F9020, sz=8820; PIC? xs=140,ys=192,xo=768,yo=144
SECTORS  	 ofs=000FA5C0, sz=3640; 
REJECT   	 ofs=000FA830, sz=2450; 
BLOCKMAP 	 ofs=000FA9F0, sz=3840; 
MAP23    	 ofs=000FB3E0, sz=0; 
THINGS   	 ofs=000FB3E0, sz=4310; 
LINEDEFS 	 ofs=000FBB60, sz=5474; 
SIDEDEFS 	 ofs=000FC810, sz=15540; 
VERTEXES 	 ofs=000FCD50, sz=1576; 
SEGS     	 ofs=000FD380, sz=7032; 
SSECTORS 	 ofs=000FE590, sz=788; 
NODES    	 ofs=000FE8B0, sz=5488; 
SECTORS  	 ofs=000FFE20, sz=1794; 
REJECT   	 ofs=001000A0, sz=596; 
BLOCKMAP 	 ofs=00100230, sz=10640; 
MAP24    	 ofs=001014D0, sz=0; 
THINGS   	 ofs=001014D0, sz=3640; 
LINEDEFS 	 ofs=00101CF0, sz=15526; 
SIDEDEFS 	 ofs=00104210, sz=51030; 
VERTEXES 	 ofs=00104FA0, sz=4696; 
SEGS     	 ofs=00106200, sz=23448; 
SSECTORS 	 ofs=00109DE0, sz=2788; 
NODES    	 ofs=0010A8D0, sz=19488; 
SECTORS  	 ofs=0010F4F0, sz=4706; 
REJECT   	 ofs=0010F8F0, sz=4096; 
BLOCKMAP 	 ofs=0010FFB0, sz=17370; 
MAP25    	 ofs=001122B0, sz=0; 
THINGS   	 ofs=001122B0, sz=2760; 
LINEDEFS 	 ofs=00112920, sz=10668; 
SIDEDEFS 	 ofs=00114210, sz=32370; 
VERTEXES 	 ofs=00114B20, sz=2788; 
SEGS     	 ofs=00115610, sz=13968; 
SSECTORS 	 ofs=001178E0, sz=1628; 
NODES    	 ofs=00117F40, sz=11368; 
SECTORS  	 ofs=0011ABB0, sz=3822; 
REJECT   	 ofs=0011AED0, sz=2702; 
BLOCKMAP 	 ofs=0011B420, sz=14246; 
MAP26    	 ofs=0011CEC0, sz=0; 
THINGS   	 ofs=0011CEC0, sz=2960; 
LINEDEFS 	 ofs=0011D580, sz=11900; 
SIDEDEFS 	 ofs=0011F160, sz=35520; 
VERTEXES 	 ofs=0011FB50, sz=3272; 
SEGS     	 ofs=00120820, sz=15660; PIC? xs=526,ys=302,xo=303,yo=0
SSECTORS 	 ofs=00123060, sz=1812; 
NODES    	 ofs=00123780, sz=12656; 
SECTORS  	 ofs=001268F0, sz=3276; 
REJECT   	 ofs=00126C50, sz=1985; PIC? xs=23,ys=4,xo=-32252,yo=-4076
BLOCKMAP 	 ofs=00126FE0, sz=8478; 
MAP27    	 ofs=00128300, sz=0; 
THINGS   	 ofs=00128300, sz=4900; 
LINEDEFS 	 ofs=00128D30, sz=13244; 
SIDEDEFS 	 ofs=0012ACA0, sz=42210; 
VERTEXES 	 ofs=0012BC90, sz=3456; 
SEGS     	 ofs=0012CA10, sz=18264; 
SSECTORS 	 ofs=0012F7F0, sz=1936; 
NODES    	 ofs=0012FF80, sz=13524; 
SECTORS  	 ofs=001322C0, sz=4862; 
REJECT   	 ofs=00132690, sz=4372; 
BLOCKMAP 	 ofs=00132E30, sz=10580; 
MAP28    	 ofs=00134580, sz=0; 
THINGS   	 ofs=00134580, sz=2630; 
LINEDEFS 	 ofs=00134BC0, sz=10430; 
SIDEDEFS 	 ofs=00136450, sz=31710; 
VERTEXES 	 ofs=00136E00, sz=2996; PIC? xs=256,ys=64,xo=328,yo=8
